position,position_label,layer,mean,std,ci_low,ci_high,n_pairs
5,"""celebrated""",10,0.006271745501181619,0.018783288916222194,-0.0026067362288453018,0.015457230302918165,16
5,"""celebrated""",11,0.010887142306455443,0.015660789047363257,0.00372500961278485,0.018351832112654714,16
5,"""celebrated""",12,0.008556606219801144,0.016494676823374625,0.0008370037942991972,0.01621408142605601,16
5,"""celebrated""",13,0.0088020269041005,0.01622771103370659,0.0010504115076276747,0.01619679537301048,16
5,"""celebrated""",14,0.01010328207561612,0.01770706162518028,0.0019987518665135393,0.01907046866378137,16
5,"""celebrated""",15,0.012049827414480744,0.01839714841790179,0.0032974287520312505,0.020613979264439634,16
5,"""celebrated""",16,0.0076033428082598244,0.012444026894989817,0.0016627790700936892,0.013575667387727617,16
5,"""celebrated""",17,0.012733119077741968,0.016846527476352433,0.005361098766429637,0.02106751042640805,16
5,"""celebrated""",18,0.015181084430532437,0.017250644128684076,0.007235979488835698,0.0237494871976566,16
5,"""celebrated""",19,0.014403201185152432,0.016263629640551135,0.0065681740640021954,0.022057770352065076,16
5,"""celebrated""",20,0.014077764013063949,0.01851712659802092,0.005537164719492349,0.022939168074587176,16
5,"""celebrated""",21,0.014121699833320062,0.012314949054983489,0.008628194044794858,0.020183140205432104,16
5,"""celebrated""",22,0.013460753881663538,0.0129565243020914,0.007393582725206811,0.019779933050316955,16
5,"""celebrated""",23,0.020430239380974144,0.012614699484460146,0.014792383065103897,0.026375044452853092,16
5,"""celebrated""",24,0.039160070021511756,0.020464704104302903,0.030051469290393214,0.04933976619829893,16
5,"""celebrated""",25,0.03737756818189918,0.017040648019260703,0.029664793860249894,0.04583351274313905,16
5,"""celebrated""",26,0.048257877308295484,0.01788828557075524,0.0401811414220236,0.056847272359494126,16
5,"""celebrated""",27,0.04544258754176515,0.023805977581267047,0.03476735823603163,0.05712060119224999,16
5,"""celebrated""",28,0.043979195187603834,0.02053590053059465,0.034677265869551895,0.054148375857660414,16
5,"""celebrated""",29,0.03794038695321371,0.020268808953503574,0.029045889704996924,0.04817860263727544,16
5,"""celebrated""",30,0.03270047600209586,0.02274679791165218,0.02277723892825905,0.04397268501833669,16
5,"""celebrated""",31,0.018256102498657133,0.021945059211074622,0.008672223109748245,0.029407479978180374,16
5,"""celebrated""",32,0.016586512363659343,0.018923350002475872,0.008351351028151327,0.02603378133207857,16
5,"""celebrated""",33,0.009273662378395563,0.00965525187801998,0.00482531821086868,0.014110953256474993,16
5,"""celebrated""",34,0.006450854085648769,0.008772860459804197,0.00240384615384615,0.010810023565462809,16
5,"""celebrated""",35,0.0,0.0,0.0,0.0,16
6,"first role token (e.g., scientist)",0,-0.0012885041604126877,0.013165080267854215,-0.007651403758041834,0.005074982886458534,16
6,"first role token (e.g., scientist)",1,-0.00095126990773725,0.010070367026040172,-0.005444019374684964,0.003958140253320969,16
6,"first role token (e.g., scientist)",2,0.004858179756301656,0.020485561584038536,-0.004072803370837146,0.015150439107463581,16
6,"first role token (e.g., scientist)",3,0.001430902913314244,0.018505799921625394,-0.006114592498392097,0.011267107733225404,16
6,"first role token (e.g., scientist)",4,-0.0005485667824822122,0.022357642651882628,-0.010530436970668551,0.01052217977190048,16
6,"first role token (e.g., scientist)",5,0.0018241802049828186,0.014561633687799745,-0.005006145400120187,0.00842338225045772,16
6,"first role token (e.g., scientist)",6,0.005962089882098957,0.015100499237144285,-0.0008630604933267275,0.013302346534989875,16
6,"first role token (e.g., scientist)",7,0.005230948066398319,0.015929648905046282,-0.002075398705341623,0.012905754264113443,16
6,"first role token (e.g., scientist)",8,0.005250742124605157,0.015957981214859928,-0.0022512989582900524,0.012618105848406513,16
6,"first role token (e.g., scientist)",9,0.018746175850617306,0.021995929495555483,0.007983707612569575,0.02894059378898804,16
6,"first role token (e.g., scientist)",10,0.024183337200388587,0.02649518275811878,0.012377640699967458,0.037160039358193946,16
6,"first role token (e.g., scientist)",11,0.025537757679711306,0.02180353762862726,0.01542315893385527,0.03588387524086718,16
6,"first role token (e.g., scientist)",12,0.023309697468005045,0.021385595125856114,0.013303785992855548,0.033305868334498605,16
6,"first role token (e.g., scientist)",13,0.01818745324574865,0.01983963041223459,0.008886543636902907,0.027415563021919775,16
6,"first role token (e.g., scientist)",14,0.01663019874460654,0.018259852382803716,0.008040627582990663,0.02518426921567975,16
6,"first role token (e.g., scientist)",15,0.017753788699394445,0.014170602354793194,0.011097931528453,0.02448878922365292,16
6,"first role token (e.g., scientist)",16,0.014761115267842337,0.015696003967133457,0.007277742257795021,0.021731631712055582,16
6,"first role token (e.g., scientist)",17,0.01746026632525912,0.017609776916422116,0.009162262912704191,0.025566409756137554,16
6,"first role token (e.g., scientist)",18,0.019539826137230244,0.013882165271469678,0.013132763121274121,0.02606053116277128,16
6,"first role token (e.g., scientist)",19,0.017614994694188094,0.015228106813626172,0.011147088519949343,0.02522418202645508,16
6,"first role token (e.g., scientist)",20,0.01694310785654448,0.016474239088722836,0.009045238296281502,0.024637933573839015,16
6,"first role token (e.g., scientist)",21,0.017375395649441988,0.013049900748492074,0.01119369894081083,0.023619220109127162,16
6,"first role token (e.g., scientist)",22,0.014870743465292468,0.014532585873170845,0.008091259838986661,0.021757097447544227,16
6,"first role token (e.g., scientist)",23,0.012948928052380307,0.007421578087732323,0.00919190706914491,0.016310133902231076,16
6,"first role token (e.g., scientist)",24,0.011361331852777198,0.007766554601796409,0.00768860192533487,0.014943028194866622,16
6,"first role token (e.g., scientist)",25,0.011659218424055063,0.009238129483670603,0.007119688069538689,0.015956225603576693,16
6,"first role token (e.g., scientist)",26,0.011116177217647282,0.00938950803900104,0.0067375390099708565,0.0158659194936896,16
6,"first role token (e.g., scientist)",27,0.011267469705796394,0.009757460774301743,0.006796529084793108,0.01600281125024842,16
6,"first role token (e.g., scientist)",28,0.01078195800433825,0.007384689215564373,0.007279801890699037,0.014140110220209001,16
6,"first role token (e.g., scientist)",29,0.009064925037305287,0.007150776866126508,0.005660154540029419,0.012447013222695914,16
6,"first role token (e.g., scientist)",30,0.0028554801215184685,0.010537751235273648,-0.0019192008299979625,0.007838837233743751,16
6,"first role token (e.g., scientist)",31,0.003990629694168037,0.008091546546773487,-0.00013173688343116885,0.0076997996602313785,16
6,"first role token (e.g., scientist)",32,0.004668338171364906,0.00781415467667817,0.0008844964034637501,0.008360411624017896,16
6,"first role token (e.g., scientist)",33,0.003774597768577288,0.008405131269313982,-0.00022178557981928336,0.007751673105539098,16
6,"first role token (e.g., scientist)",34,0.0018881616208423374,0.004111961871993041,0.0,0.004080424261147138,16
6,"first role token (e.g., scientist)",35,0.0,0.0,0.0,0.0,16
7,"period "".""",0,-0.00011742926613616243,0.008752350901733602,-0.004177539900983237,0.004000621063636709,16
7,"period "".""",1,-0.0007331903943053813,0.010779889601937986,-0.005532225908596009,0.004533161453569957,16
7,"period "".""",2,0.004182027885296831,0.010358571146345743,-0.0007934297309772684,0.0089039546711353,16
7,"period "".""",3,-0.001829116072728456,0.01791875684356925,-0.011244766088122532,0.0056712156151129565,16
7,"period "".""",4,-0.001296191553544481,0.017734846978381853,-0.009351728015482558,0.007014251479667223,16
7,"period "".""",5,0.0033298806422090007,0.029162365853942624,-0.010423054265362181,0.017112270606601376,16
7,"period "".""",6,0.004312937597673913,0.0262671826329533,-0.007313993598201416,0.01775875759235086,16
7,"period "".""",7,0.0013501148829337256,0.022791737031234056,-0.009336018380987294,0.01219776955461812,16
7,"period "".""",8,0.0010347508627504254,0.0205684330316113,-0.008495894157028196,0.01074367053980846,16
7,"period "".""",9,0.00024990965937657546,0.025422806823749144,-0.011553375517656,0.011897010746521245,16
7,"period "".""",10,-0.0007058492234378938,0.016059756327033253,-0.007984094566953589,0.007149659562620185,16
7,"period "".""",11,0.0006829409620833309,0.014896213512964242,-0.006068999639839462,0.008163331492461888,16
7,"period "".""",12,0.0038046167986425248,0.011415112403120787,-0.0017033009833954998,0.008906568132883909,16
7,"period "".""",13,0.004830684783953738,0.01586250770977196,-0.0026898322321282407,0.012171495665637163,16
7,"period "".""",14,0.001717790988615094,0.014861114860729737,-0.005591323023041787,0.00872001103203389,16
7,"period "".""",15,0.002549865594081,0.014266685138335417,-0.0039467946112589965,0.009496918673215454,16
7,"period "".""",16,0.0025591095934048686,0.014805968439250822,-0.003944135374046095,0.010023579817247993,16
7,"period "".""",17,-0.0007158367325710124,0.013676316740406926,-0.007238113204631661,0.0053013392857142756,16
7,"period "".""",18,3.7175315621756347e-05,0.014717966536367148,-0.007151390812753652,0.0068288360196981646,16
7,"period "".""",19,0.0035138865129211876,0.013279266188503948,-0.0028200687694418555,0.0097977460836788,16
7,"period "".""",20,0.0005869064493267187,0.011306115681736168,-0.0049074317226890625,0.0060812446213424996,16
7,"period "".""",21,0.00045672617208761864,0.010165182381972076,-0.004191706730769216,0.005474439323801611,16
7,"period "".""",22,0.005228155977984325,0.008487735040987921,0.0015060240963855375,0.009465988955823268,16
7,"period "".""",23,0.004218697707496643,0.007293743681389866,0.0011351495726495686,0.008053656432621495,16
7,"period "".""",24,0.012257625890489907,0.007273635890640853,0.008757286723665396,0.015485554907930637,16
7,"period "".""",25,0.009888975623132751,0.008011483749948218,0.006072206834894044,0.01364912414038595,16
7,"period "".""",26,0.014250465766365475,0.010021509835819151,0.009397616160930163,0.018922365212029685,16
7,"period "".""",27,0.01388614287098275,0.00940492044603972,0.009575217502545145,0.018494607748391085,16
7,"period "".""",28,0.013304259476599356,0.011465493543296663,0.007484677321928551,0.018518914724643377,16
7,"period "".""",29,0.017470462710673332,0.011737923827219478,0.012091366975326192,0.02327870705541422,16
7,"period "".""",30,0.015830023871658883,0.011408502509654073,0.010482044115077103,0.021402408846782524,16
7,"period "".""",31,0.016448253429082713,0.01168561151883055,0.010911533225883103,0.02218528807667572,16
7,"period "".""",32,0.019924964626382144,0.012513900550142652,0.013875903871077231,0.026005327946009318,16
7,"period "".""",33,0.014393733681214138,0.011923273832728818,0.008860977027837169,0.02020308731476164,16
7,"period "".""",34,0.012094521256318963,0.008020255595393587,0.008185320868649159,0.015862698016340476,16
7,"period "".""",35,0.0,0.0,0.0,0.0,16
8,"""The""",0,-0.0003663569622145938,0.009264465220910357,-0.004792899935260422,0.004064837072649569,16
8,"""The""",1,0.0021370893169207687,0.009304929168743314,-0.0023172369909502167,0.006386373258635954,16
