layer,position_group,mean,ci_low,ci_high,n_pairs
12,all_prompt_positions_oracle,1.0,1.0,1.0,16
12,except_subject,0.09302342723638836,0.043424651856763925,0.13988270754782797,16
12,final_token,3.786418773191495e-05,-0.02604041568190825,0.024647215141316292,16
12,first_role,0.023309697468005076,0.013540855458562736,0.03384541181316518,16
12,post_subject_excluding_final,0.07718335824560642,0.05157883321018398,0.10390662761497999,16
12,post_subject_including_final,0.09302342723638836,0.04433673659747581,0.14175410568150645,16
12,second_role,0.006980064144637753,-0.002776034313568833,0.014466173042033278,16
12,subject_span,0.9069765727636117,0.8545491538723976,0.9560024509747972,16
12,unrelated_prefix_negative_control,0.0,0.0,0.0,16
13,all_prompt_positions_oracle,1.0,1.0,1.0,16
13,except_subject,0.0894009205405701,0.03855811763201973,0.1353167543342798,16
13,final_token,0.00111556890744031,-0.025368472225038324,0.027053287744975323,16
13,first_role,0.018187453245748674,0.008454847249745403,0.02848201027898456,16
13,post_subject_excluding_final,0.08055818272262459,0.051978821643147044,0.11230037502654594,16
13,post_subject_including_final,0.0894009205405701,0.04125023289821905,0.133600780726667,16
13,second_role,0.0100084389561008,0.002667772320856959,0.01681164899886643,16
13,subject_span,0.9105990794594299,0.8650651099434014,0.9610160754803982,16
13,unrelated_prefix_negative_control,0.0,0.0,0.0,16
14,all_prompt_positions_oracle,1.0,1.0,1.0,16
14,except_subject,0.10051225709119868,0.04980083071952642,0.1468590259066566,16
14,final_token,0.0010076375966533969,-0.027753535307521535,0.027743176116334062,16
14,first_role,0.016630198744606552,0.007866075600502152,0.024452633597567795,16
14,post_subject_excluding_final,0.08746466777861023,0.061111000413675745,0.11445245334386457,16
14,post_subject_including_final,0.10051225709119868,0.0509931537924484,0.1496055625066598,16
14,second_role,0.0068330366898498454,0.0017619807648965862,0.011924981874760706,16
14,subject_span,0.8994877429088013,0.8493512386515465,0.9508192241741487,16
14,unrelated_prefix_negative_control,0.0,0.0,0.0,16
15,all_prompt_positions_oracle,1.0,1.0,1.0,16
15,except_subject,0.09709450425481544,0.05083326042711887,0.14498161826716027,16
15,final_token,0.0012964049465420706,-0.02950266645119586,0.02865151766470626,16
15,first_role,0.017753788699394462,0.01085998495137778,0.02437850492651307,16
15,post_subject_excluding_final,0.08648629515349437,0.05878471251740126,0.1147154750602597,16
15,post_subject_including_final,0.09709450425481544,0.04725758135741407,0.14124598510414468,16
15,second_role,0.006275281536506456,0.0010324101837213104,0.011767658870777227,16
15,subject_span,0.9029054957451845,0.8551654225920765,0.9533311900587084,16
15,unrelated_prefix_negative_control,0.0,0.0,0.0,16
16,all_prompt_positions_oracle,1.0,1.0,1.0,16
16,except_subject,0.10247396723272176,0.053870730273682985,0.1510190945072968,16
16,final_token,0.0036851293959468037,-0.027084076336104733,0.03222961163329063,16
16,first_role,0.014761115267842354,0.007310622981788883,0.02181719691607748,16
16,post_subject_excluding_final,0.0843261442108402,0.059477516327243456,0.1126084337969499,16
16,post_subject_including_final,0.10247396723272176,0.05412856306965038,0.1517974395359395,16
16,second_role,0.009550199276038167,0.0015847645389249305,0.01732801197182238,16
16,subject_span,0.8975260327672783,0.8528677810520253,0.943288647037617,16
16,unrelated_prefix_negative_control,0.0,0.0,0.0,16
17,all_prompt_positions_oracle,1.0,1.0,1.0,16
17,except_subject,0.10876877380597477,0.06024924095688231,0.15425401640204914,16
17,final_token,0.0049405003231465265,-0.035080047689849216,0.039371906616875334,16
17,first_role,0.01746026632525913,0.008924196682710453,0.025117504867227643,16
17,post_subject_excluding_final,0.09026961636253869,0.06770129754211587,0.1162938789259472,16
17,post_subject_including_final,0.10876877380597477,0.060373798096971465,0.1570318575187617,16
17,second_role,0.01000337533812967,0.0031448221143010697,0.015716719912074798,16
17,subject_span,0.8912312261940252,0.8434747823041044,0.9428543145126087,16
17,unrelated_prefix_negative_control,0.0,0.0,0.0,16
18,all_prompt_positions_oracle,1.0,1.0,1.0,16
18,except_subject,0.11609740435348076,0.06485704265574062,0.16169973183791642,16
