layer,position_group,mean,std,count
10,first_role,0.024183337200388608,0.026495182758118793,16
10,post_subject_excluding_final,0.06937813930909761,0.0746511615384998,16
10,post_subject_including_final,0.07125025530929191,0.10763606716651455,16
10,second_role,0.008308016694654969,0.022756499897260696,16
10,subject_span,0.928749744690708,0.10763606716651455,16
10,unrelated_prefix_negative_control,0.0,0.0,16
11,all_prompt_positions_oracle,1.0,0.0,16
11,except_subject,0.09478310546665483,0.10918793863701061,16
11,final_token,0.002021584842218289,0.05768321179721054,16
11,first_role,0.025537757679711334,0.021803537628627266,16
11,post_subject_excluding_final,0.08081470162034432,0.06280839377770263,16
11,post_subject_including_final,0.09478310546665483,0.10918793863701061,16
11,second_role,0.00983203725437716,0.016266343695459703,16
11,subject_span,0.9052168945333452,0.1091879386370106,16
11,unrelated_prefix_negative_control,0.0,0.0,16
12,all_prompt_positions_oracle,1.0,0.0,16
12,except_subject,0.09302342723638836,0.10546394496221408,16
12,final_token,3.786418773191495e-05,0.054861806534906146,16
12,first_role,0.023309697468005076,0.021385595125856135,16
12,post_subject_excluding_final,0.07718335824560642,0.05818022375691211,16
12,post_subject_including_final,0.09302342723638836,0.10546394496221408,16
12,second_role,0.006980064144637753,0.01766088349196055,16
12,subject_span,0.9069765727636117,0.10546394496221406,16
12,unrelated_prefix_negative_control,0.0,0.0,16
13,all_prompt_positions_oracle,1.0,0.0,16
13,except_subject,0.0894009205405701,0.10186883048716613,16
13,final_token,0.00111556890744031,0.05287447753161996,16
13,first_role,0.018187453245748674,0.019839630412234615,16
13,post_subject_excluding_final,0.08055818272262459,0.06212311893698113,16
13,post_subject_including_final,0.0894009205405701,0.10186883048716613,16
13,second_role,0.0100084389561008,0.015010612078761342,16
13,subject_span,0.9105990794594299,0.1018688304871661,16
13,unrelated_prefix_negative_control,0.0,0.0,16
14,all_prompt_positions_oracle,1.0,0.0,16
14,except_subject,0.10051225709119868,0.10344076510341566,16
14,final_token,0.0010076375966533969,0.05694660517987546,16
14,first_role,0.016630198744606552,0.018259852382803737,16
14,post_subject_excluding_final,0.08746466777861023,0.06065046947517808,16
14,post_subject_including_final,0.10051225709119868,0.10344076510341566,16
14,second_role,0.0068330366898498454,0.01126974849161686,16
14,subject_span,0.8994877429088013,0.10344076510341566,16
14,unrelated_prefix_negative_control,0.0,0.0,16
15,all_prompt_positions_oracle,1.0,0.0,16
15,except_subject,0.09709450425481544,0.10041871075860855,16
15,final_token,0.0012964049465420706,0.0570088203873405,16
15,first_role,0.017753788699394462,0.014170602354793201,16
15,post_subject_excluding_final,0.08648629515349437,0.059330991796142964,16
15,post_subject_including_final,0.09709450425481544,0.10041871075860855,16
15,second_role,0.006275281536506456,0.011125869947876343,16
15,subject_span,0.9029054957451845,0.10041871075860856,16
15,unrelated_prefix_negative_control,0.0,0.0,16
16,all_prompt_positions_oracle,1.0,0.0,16
16,except_subject,0.10247396723272176,0.10182042596763985,16
16,final_token,0.0036851293959468037,0.064884515900431,16
16,first_role,0.014761115267842354,0.015696003967133467,16
16,post_subject_excluding_final,0.0843261442108402,0.05482229965702759,16
16,post_subject_including_final,0.10247396723272176,0.10182042596763985,16
16,second_role,0.009550199276038167,0.016401804635515892,16
16,subject_span,0.8975260327672783,0.10182042596763986,16
16,unrelated_prefix_negative_control,0.0,0.0,16
17,all_prompt_positions_oracle,1.0,0.0,16
17,except_subject,0.10876877380597477,0.10224668415158719,16
17,final_token,0.0049405003231465265,0.08109784830540068,16
17,first_role,0.01746026632525913,0.017609776916422137,16
17,post_subject_excluding_final,0.09026961636253869,0.050778210275993385,16
17,post_subject_including_final,0.10876877380597477,0.10224668415158719,16
17,second_role,0.01000337533812967,0.012992840581304137,16
17,subject_span,0.8912312261940252,0.10224668415158719,16
17,unrelated_prefix_negative_control,0.0,0.0,16
18,all_prompt_positions_oracle,1.0,0.0,16
18,except_subject,0.11609740435348076,0.10258714110989346,16
18,final_token,0.004029967817610784,0.08118747796661763,16
18,first_role,0.01953982613723027,0.013882165271469682,16
18,post_subject_excluding_final,0.09385404944068192,0.053795352172186735,16
18,post_subject_including_final,0.11609740435348076,0.10258714110989346,16
18,second_role,0.009351758037805472,0.01050679569217575,16
18,subject_span,0.8839025956465193,0.10258714110989346,16
18,unrelated_prefix_negative_control,0.0,0.0,16
19,all_prompt_positions_oracle,1.0,0.0,16
19,except_subject,0.12035616565650367,0.10221820573904943,16
19,final_token,0.004146905664996285,0.0794799256590035,16
19,first_role,0.017614994694188115,0.015228106813626177,16
19,post_subject_excluding_final,0.0966824268448218,0.056397961203562656,16
19,post_subject_including_final,0.12035616565650367,0.10221820573904943,16
19,second_role,0.009597684215526783,0.014679023299534215,16
19,subject_span,0.8796438343434964,0.10221820573904944,16
19,unrelated_prefix_negative_control,0.0,0.0,16
20,all_prompt_positions_oracle,1.0,0.0,16
20,except_subject,0.12627709674132562,0.10447262381707367,16
20,final_token,0.008265722132599377,0.08082315426568962,16
20,first_role,0.0169431078565445,0.01647423908872285,16
20,post_subject_excluding_final,0.10223869785409237,0.055957872059371215,16
20,post_subject_including_final,0.12627709674132562,0.10447262381707367,16
