placement,filler_family,target_added_tokens,actual_added_tokens,pair_id,unordered_pair_id,donor_entity,recipient_entity,role,P_subject,P_readout,subject_to_readout_distance,stable_crossover_layer,steepest_subject_decline_layer,steepest_subject_decline,steepest_readout_increase_layer,steepest_readout_increase,strongest_attention_transfer_layer,strongest_attention_transfer_effect,subject_recovery_auc,readout_recovery_auc,post_subject_recovery_auc,intermediate_recovery_auc,intermediate_peak_recovery,intermediate_peak_layer
gap,cards,128,126,city_Tokyo_into_Paris,city_Paris_Tokyo,Tokyo,Paris,city,[2],136,134,31.0,34,-0.2631578947368421,34,0.3157894736842106,34,0.28289473684210525,25.460526315789476,5.151315789473684,9.06578947368421,3.815789473684209,0.2236842105263158,24
gap,cards,128,126,company_Apple_into_Google,company_Apple_Google,Apple,Google,company,[2],136,134,32.0,34,-0.27710843373493976,34,0.2650602409638556,34,0.2831325301204819,28.301204819277107,4.22289156626506,7.265060240963853,2.981927710843373,0.2048192771084337,27
gap,cards,128,126,company_Google_into_Apple,company_Apple_Google,Google,Apple,company,[2],136,134,32.0,34,-0.2289156626506024,34,0.3012048192771084,34,0.28915662650602414,27.83734939759036,4.204819277108433,6.7469879518072275,2.734939759036143,0.180722891566265,27
gap,cards,128,126,composer_Bach_into_Mozart,composer_Bach_Mozart,Bach,Mozart,composer,[2],136,134,34.0,34,-0.4848484848484848,34,0.5909090909090909,34,0.4772727272727273,29.613636363636363,1.5227272727272736,1.886363636363637,-0.22727272727272685,0.0757575757575757,32
gap,cards,128,126,composer_Mozart_into_Bach,composer_Bach_Mozart,Mozart,Bach,composer,[2],136,134,34.0,34,-0.5606060606060607,34,0.43939393939393945,34,0.4772727272727273,33.363636363636374,3.6363636363636362,5.545454545454544,1.9393939393939381,0.106060606060606,26
gap,cards,128,126,country_France_into_Japan,country_France_Japan,France,Japan,country,[2],136,134,31.0,31,-0.30000000000000004,31,0.5,31,0.4111111111111111,25.944444444444446,3.9444444444444446,6.438888888888887,2.294444444444443,0.1777777777777777,26
gap,cards,128,126,country_Japan_into_France,country_France_Japan,Japan,France,country,[2],136,134,31.0,31,-0.4444444444444445,31,0.3555555555555555,31,0.4333333333333333,28.63888888888889,5.177777777777777,9.066666666666666,3.8555555555555543,0.2333333333333333,24
gap,cards,128,126,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,Darwin,Einstein,scientist,[2],136,134,33.0,34,-0.2698412698412697,34,0.3650793650793651,34,0.29365079365079355,26.190476190476193,2.4444444444444455,2.4285714285714297,-0.7619047619047613,0.0793650793650793,32
gap,cards,128,126,scientist_Darwin_into_Newton,scientist_Darwin_Newton,Darwin,Newton,scientist,[2],136,134,33.0,34,-0.4117647058823528,34,0.3382352941176471,34,0.4191176470588235,28.213235294117645,3.147058823529413,5.125,1.198529411764705,0.1470588235294117,23
gap,cards,128,126,scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,Einstein,Darwin,scientist,[2],136,134,33.0,34,-0.3809523809523809,34,0.2857142857142857,34,0.33333333333333337,32.1984126984127,5.007936507936507,8.73015873015873,3.8253968253968242,0.1904761904761904,21
gap,cards,128,126,scientist_Einstein_into_Newton,scientist_Einstein_Newton,Einstein,Newton,scientist,[2],136,134,34.0,34,-0.56,34,0.36,34,0.48,31.740000000000002,4.3100000000000005,8.01,3.18,0.18,21
