filler_family,target_added_tokens,actual_added_tokens,metric,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
room,8,8,stable_crossover_layer,difference,-0.375,0.0,1.2583057392117916,-1.25,0.375,16,8,20260716,2000
room,8,8,steepest_readout_increase_layer,difference,-1.125,-0.5,4.602535533087532,-2.75,0.75,16,8,20260716,2000
room,8,8,steepest_subject_decline_layer,difference,-0.0625,0.0,5.555402775677026,-2.4375,2.5,16,8,20260716,2000
room,8,8,strongest_attention_transfer_layer,difference,-0.875,-1.5,5.942782737629457,-4.75,3.125,16,8,20260716,2000
room,8,8,subject_recovery_auc,difference,-0.30166239461460154,-0.6313100679963615,1.8492308909596558,-1.2153281564545442,0.9839470145947612,16,8,20260716,2000
room,32,28,intermediate_peak_recovery,difference,-0.04687790567833331,-0.06185712763735186,0.08488610039043765,-0.09089683503218302,-0.0028749139023695304,16,8,20260716,2000
room,32,28,intermediate_recovery_auc,difference,-0.17094554348059673,-0.6602560883877182,2.343300902217963,-1.3031382833752763,0.8795631333471892,16,8,20260716,2000
room,32,28,post_subject_recovery_auc,difference,-2.271042593767128,-2.7894019686105693,3.078725028014685,-3.5000600309576866,-1.0993299932391036,16,8,20260716,2000
room,32,28,readout_recovery_auc,difference,-2.1784205506854444,-2.0365846646976573,1.0868809962832082,-2.651996570763517,-1.7025561478607087,16,8,20260716,2000
room,32,28,stable_crossover_layer,difference,4.6875,5.0,1.25,3.8125,5.4375,16,8,20260716,2000
room,32,28,steepest_readout_increase_layer,difference,4.9375,7.0,3.785388575386504,2.875,6.9375,16,8,20260716,2000
room,32,28,steepest_subject_decline_layer,difference,8.125,8.0,5.6317552030132365,5.4375,11.251562499999991,16,8,20260716,2000
room,32,28,strongest_attention_transfer_layer,difference,4.125,3.0,3.7394295465128544,1.875,6.375,16,8,20260716,2000
room,32,28,subject_recovery_auc,difference,2.2652139365736232,2.924379077513745,3.0768221242990816,1.0920571610697927,3.515173665182397,16,8,20260716,2000
room,64,66,intermediate_peak_recovery,difference,-0.1284361786063446,-0.11952630503204795,0.11316612545723677,-0.1915224986100988,-0.06143130001524154,16,8,20260716,2000
room,64,66,intermediate_recovery_auc,difference,-0.7029578409310943,-0.22023606855067585,1.9644388174979899,-1.957261735407952,0.46805542864078387,16,8,20260716,2000
room,64,66,post_subject_recovery_auc,difference,-4.6846618844837185,-4.856368770758667,2.1482704040803133,-5.939659692767335,-3.5388851096688305,16,8,20260716,2000
room,64,66,readout_recovery_auc,difference,-3.900697360304438,-3.7235812991021318,1.628275169201541,-4.8524610481876955,-3.1145079397134463,16,8,20260716,2000
room,64,66,stable_crossover_layer,difference,6.875,7.0,1.4548768561863463,6.0,7.875,16,8,20260716,2000
room,64,66,steepest_readout_increase_layer,difference,8.0,8.0,2.0330600909302543,7.1875,8.6875,16,8,20260716,2000
room,64,66,steepest_subject_decline_layer,difference,9.25,10.0,1.3416407864998738,8.375,10.0,16,8,20260716,2000
room,64,66,strongest_attention_transfer_layer,difference,8.625,8.0,1.1474609652039003,7.875,9.375,16,8,20260716,2000
room,64,66,subject_recovery_auc,difference,4.651420524894169,4.96244546738299,2.046252439345041,3.553517997507675,5.8046648924136095,16,8,20260716,2000
room,128,127,intermediate_peak_recovery,difference,-0.18157976525754155,-0.17457881747231246,0.1347716664025067,-0.26334987632359624,-0.1037379616072321,16,8,20260716,2000
room,128,127,intermediate_recovery_auc,difference,-1.8851466085670676,-1.59647517887152,2.206261883396048,-3.167820065492729,-0.7468384000978747,16,8,20260716,2000
room,128,127,post_subject_recovery_auc,difference,-6.089136688705754,-5.580713162480345,3.830802869541456,-8.488902963801825,-4.1163648409291715,16,8,20260716,2000
room,128,127,readout_recovery_auc,difference,-4.417792194849767,-3.379873537531769,2.801226795473417,-6.187921023920165,-3.1604926146559715,16,8,20260716,2000
room,128,127,stable_crossover_layer,difference,7.0,7.0,1.8257418583505538,5.9375,8.25,16,8,20260716,2000
room,128,127,steepest_readout_increase_layer,difference,6.6875,7.0,2.600480724789169,5.8125,7.625,16,8,20260716,2000
room,128,127,steepest_subject_decline_layer,difference,9.25,10.0,1.3416407864998738,8.375,10.0,16,8,20260716,2000
room,128,127,strongest_attention_transfer_layer,difference,5.4375,5.0,2.0966242709015206,4.1859375,6.875,16,8,20260716,2000
room,128,127,subject_recovery_auc,difference,6.115858904178582,5.329678269369717,3.813153083262966,4.1390719598422265,8.50859725535064,16,8,20260716,2000
