placement,filler_family,target_added_tokens,actual_added_tokens,layer,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
gap,cards,32,29,22,combined_attention_effect,0.0040502479226826125,0.0034722222222222,0.009052421181480684,-6.92339085821203e-05,0.008926314667919143,16,8,20260716,2000
gap,cards,32,29,23,combined_attention_effect,0.02056806293677773,0.020032051282051225,0.014680194585099282,0.011608623548922038,0.02959698605088614,16,8,20260716,2000
gap,cards,32,29,24,combined_attention_effect,0.09840302096879164,0.09999999999999999,0.047769150468460926,0.0661522057533448,0.12806467838837435,16,8,20260716,2000
gap,cards,32,29,25,combined_attention_effect,-0.002233619881557087,0.0,0.012000066805392682,-0.010559665656645827,0.004555957605735746,16,8,20260716,2000
gap,cards,32,29,26,combined_attention_effect,0.04929410004729091,0.0416666666666666,0.024754591774886394,0.034077519624034845,0.0653258109149502,16,8,20260716,2000
gap,cards,32,29,27,combined_attention_effect,0.053752079644327544,0.05555555555555552,0.019623522383545935,0.0418446121351154,0.06637158089843749,16,8,20260716,2000
gap,cards,32,29,28,combined_attention_effect,0.0016783701245131752,0.0,0.016078155401538622,-0.007562483650156945,0.011461217067261003,16,8,20260716,2000
gap,cards,32,29,29,combined_attention_effect,0.03516125846709338,0.03088281994283896,0.012390669363475701,0.027521469457996876,0.04312016961863269,16,8,20260716,2000
gap,cards,32,29,30,combined_attention_effect,0.041613767383971045,0.03262411347517727,0.024898163090614715,0.02693314973204192,0.05807100361029925,16,8,20260716,2000
gap,cards,32,29,31,combined_attention_effect,0.14134070681214025,0.10173611111111108,0.08496930068928757,0.09029792706338878,0.19940768266293632,16,8,20260716,2000
gap,cards,32,29,32,combined_attention_effect,0.066663383626059,0.06403688524590156,0.0469223213113626,0.03943566150888909,0.10061234336725443,16,8,20260716,2000
gap,cards,32,29,33,combined_attention_effect,0.08163638603803827,0.07451923076923068,0.06310540096298736,0.040047054009819914,0.12407274184683875,16,8,20260716,2000
gap,cards,32,29,34,combined_attention_effect,0.2605563120228177,0.2516960651289009,0.10161412734813381,0.19250477434008817,0.3272265299773381,16,8,20260716,2000
gap,cards,32,29,35,combined_attention_effect,0.11364063149324266,0.11045732874091074,0.02703100779126605,0.09812026413520783,0.13300572598943605,16,8,20260716,2000
gap,cards,64,68,0,combined_attention_effect,0.0008720578589707684,0.0,0.00770413869463199,-0.0012755102040816336,0.00276516398840884,16,8,20260716,2000
gap,cards,64,68,1,combined_attention_effect,0.0009848303742717832,0.0,0.004209779547627176,-0.0010964912280701858,0.0028329374723817828,16,8,20260716,2000
gap,cards,64,68,2,combined_attention_effect,-0.000329865217952302,0.0,0.0070561536796183615,-0.0025142268445839814,0.0017650158061116917,16,8,20260716,2000
gap,cards,64,68,3,combined_attention_effect,0.0029901730248920086,0.0,0.0047483660649858695,0.0013369336143308685,0.00471745058856967,16,8,20260716,2000
gap,cards,64,68,4,combined_attention_effect,-0.001725047402876045,-2.0383000842727483e-17,0.008967804840569865,-0.005890577829832466,0.002699812911061163,16,8,20260716,2000
gap,cards,64,68,5,combined_attention_effect,-1.0421895088274916e-05,0.0,0.00703646298329488,-0.002769059564864364,0.0025596738909749684,16,8,20260716,2000
gap,cards,64,68,6,combined_attention_effect,0.0005249825867397996,0.0,0.008226889667777945,-0.0010313275434243184,0.002125506072874492,16,8,20260716,2000
gap,cards,64,68,7,combined_attention_effect,0.0028421967843405825,0.0,0.01084118075765683,-0.0031020732579632227,0.009364128469850937,16,8,20260716,2000
gap,cards,64,68,8,combined_attention_effect,-6.447428056888737e-05,0.0,0.007654947937665606,-0.003606205459833536,0.0030185999329681904,16,8,20260716,2000
gap,cards,64,68,9,combined_attention_effect,0.004708361597878803,0.003424657534246575,0.01190224657080744,-0.0026290661899920384,0.011328663219260465,16,8,20260716,2000
gap,cards,64,68,10,combined_attention_effect,0.0024603959636854368,1.734723475976807e-18,0.0075777413915831,0.0005482456140350827,0.005026223776223764,16,8,20260716,2000
gap,cards,64,68,11,combined_attention_effect,0.0014764684075914965,8.673617379884035e-19,0.006842000480935304,-0.0015510917978949915,0.0042680172826607314,16,8,20260716,2000
