placement,filler_family,target_added_tokens,actual_added_tokens,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples,metric
gap,room,32,28,steepest_readout_increase_layer,33.0625,34.0,1.4361406616345072,32.125,33.8125,16,8,20260716,2000,steepest_readout_increase_layer
gap,room,64,66,steepest_readout_increase_layer,33.4375,34.0,1.2093386622447824,32.6875,34.0,16,8,20260716,2000,steepest_readout_increase_layer
gap,room,128,127,steepest_readout_increase_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,steepest_readout_increase_layer
prefix,cards,0,0,steepest_readout_increase_layer,24.625,24.0,0.9574271077563381,24.25,25.125,16,8,20260716,2000,steepest_readout_increase_layer
prefix,cards,8,10,steepest_readout_increase_layer,27.375,26.0,3.8275318418009276,25.25,30.0625,16,8,20260716,2000,steepest_readout_increase_layer
prefix,cards,32,29,steepest_readout_increase_layer,26.3125,25.0,3.2397273547836294,24.8125,27.8125,16,8,20260716,2000,steepest_readout_increase_layer
prefix,cards,64,68,steepest_readout_increase_layer,26.625,25.0,3.685557397915997,25.0,28.1875,16,8,20260716,2000,steepest_readout_increase_layer
prefix,cards,128,126,steepest_readout_increase_layer,25.3125,24.0,2.937544325906703,24.25,26.6875,16,8,20260716,2000,steepest_readout_increase_layer
prefix,meadow,0,0,steepest_readout_increase_layer,24.625,24.0,0.9574271077563381,24.25,25.125,16,8,20260716,2000,steepest_readout_increase_layer
prefix,meadow,8,8,steepest_readout_increase_layer,31.625,32.0,2.9860788111948193,30.5,32.75,16,8,20260716,2000,steepest_readout_increase_layer
prefix,meadow,32,35,steepest_readout_increase_layer,26.6875,24.0,4.045058714036176,24.5625,29.18906249999999,16,8,20260716,2000,steepest_readout_increase_layer
prefix,meadow,64,69,steepest_readout_increase_layer,27.0625,24.0,4.493977451360135,24.4359375,30.25,16,8,20260716,2000,steepest_readout_increase_layer
prefix,meadow,128,125,steepest_readout_increase_layer,25.875,24.0,3.2015621187164243,24.5625,27.375,16,8,20260716,2000,steepest_readout_increase_layer
prefix,room,0,0,steepest_readout_increase_layer,24.625,24.0,0.9574271077563381,24.25,25.125,16,8,20260716,2000,steepest_readout_increase_layer
prefix,room,8,8,steepest_readout_increase_layer,28.75,29.0,3.5870136139505613,26.8125,30.875,16,8,20260716,2000,steepest_readout_increase_layer
prefix,room,32,28,steepest_readout_increase_layer,28.125,26.5,3.8622100754188224,26.125,30.125,16,8,20260716,2000,steepest_readout_increase_layer
prefix,room,64,66,steepest_readout_increase_layer,25.4375,26.0,1.8962682651284688,24.875,26.1875,16,8,20260716,2000,steepest_readout_increase_layer
prefix,room,128,127,steepest_readout_increase_layer,26.9375,26.0,2.839454172900137,25.6875,28.0,16,8,20260716,2000,steepest_readout_increase_layer
gap,cards,0,0,strongest_attention_transfer_layer,24.875,24.0,1.02469507659596,24.25,25.5,16,8,20260716,2000,strongest_attention_transfer_layer
gap,cards,8,10,strongest_attention_transfer_layer,28.0,24.0,4.774934554525329,25.25,31.125,16,8,20260716,2000,strongest_attention_transfer_layer
gap,cards,32,29,strongest_attention_transfer_layer,33.25,34.0,1.3416407864998738,32.5,34.0,16,8,20260716,2000,strongest_attention_transfer_layer
gap,cards,64,68,strongest_attention_transfer_layer,33.25,34.0,1.3416407864998738,32.5,34.0,16,8,20260716,2000,strongest_attention_transfer_layer
gap,cards,128,126,strongest_attention_transfer_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,strongest_attention_transfer_layer
gap,meadow,0,0,strongest_attention_transfer_layer,24.875,24.0,1.02469507659596,24.25,25.5,16,8,20260716,2000,strongest_attention_transfer_layer
gap,meadow,8,8,strongest_attention_transfer_layer,33.0,34.0,1.3165611772087666,32.125,33.75,16,8,20260716,2000,strongest_attention_transfer_layer
gap,meadow,32,35,strongest_attention_transfer_layer,33.25,34.0,1.3416407864998738,32.5,34.0,16,8,20260716,2000,strongest_attention_transfer_layer
gap,meadow,64,69,strongest_attention_transfer_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,strongest_attention_transfer_layer
gap,meadow,128,125,strongest_attention_transfer_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,strongest_attention_transfer_layer
gap,room,0,0,strongest_attention_transfer_layer,24.875,24.0,1.02469507659596,24.25,25.5,16,8,20260716,2000,strongest_attention_transfer_layer
gap,room,8,8,strongest_attention_transfer_layer,28.0,25.0,4.844240566555986,25.25,31.5,16,8,20260716,2000,strongest_attention_transfer_layer
gap,room,32,28,strongest_attention_transfer_layer,33.125,34.0,1.3102162671355697,32.246875,34.0,16,8,20260716,2000,strongest_attention_transfer_layer
gap,room,64,66,strongest_attention_transfer_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,strongest_attention_transfer_layer
gap,room,128,127,strongest_attention_transfer_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,cards,0,0,strongest_attention_transfer_layer,24.875,24.0,1.02469507659596,24.25,25.5,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,cards,8,10,strongest_attention_transfer_layer,26.75,25.0,3.855731664245668,24.5,29.5,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,cards,32,29,strongest_attention_transfer_layer,26.6875,24.0,4.045058714036176,24.5,29.25,16,8,20260716,2000,strongest_attention_transfer_layer
